City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,kondagaon,19.6,81.6667,28.620000000000005,58,100,2.37,IN,1717851051
76,vilyuchinsk,52.9306,158.4028,14.150000000000034,69,97,4.32,RU,1717851051
77,falmouth,50.1544,-5.0711,16.560000000000002,63,100,6.17,GB,1717850991
78,nar'yan-mar,67.6713,53.087,4.5,73,58,4.92,RU,1717851051
79,pedra,-8.4969,-36.9408,24.480000000000015,67,100,2.86,BR,1717851051
80,minas de marcona,-15.2119,-75.1103,13.800000000000011,82,6,1.6,PE,1717851051
81,qaqortoq,60.7167,-46.0333,2.75,98,100,0.72,GL,1717851051
82,petropavlovsk-kamchatsky,53.0452,158.6483,13.33000000000004,38,75,2.0,RU,1717851051
83,nurota,40.5614,65.6886,33.94,16,73,3.54,UZ,1717850891
84,montoro,38.0241,-4.3834,24.430000000000007,34,6,6.57,ES,1717851051
85,imperatriz,-5.5264,-47.4917,29.03000000000003,54,0,4.12,BR,1717851052
86,luderitz,-26.6481,15.1594,23.970000000000027,30,0,4.35,,1717851052
87,sitka,57.0531,-135.33,11.939999999999998,62,100,0.0,US,1717851052
88,haiku-pauwela,20.9219,-156.3051,23.360000000000014,84,0,0.45,US,1717851052
89,wewak,-3.5534,143.6268,26.74000000000001,86,100,0.93,PG,1717851052
90,figuig (centre),32.1089,-1.2286,34.34000000000003,10,100,12.76,MA,1717851052
91,torghay,49.6339,63.4981,21.260000000000048,78,100,4.56,KZ,1717851052
92,avarua,-21.2078,-159.775,20.03000000000003,77,75,1.54,CK,1717851052
93,camocim,-2.9022,-40.8411,29.110000000000014,64,10,4.6,BR,1717851052
94,the pas,53.8251,-101.2541,6.010000000000048,87,100,2.57,CA,1717851052
95,codrington,-38.2667,141.9667,11.220000000000027,87,100,4.0,AU,1717851052
96,margaret river,-33.95,115.0667,17.120000000000005,80,100,6.89,AU,1717851052
97,sakakah,29.9697,40.2064,42.76000000000005,7,0,7.99,SA,1717851052
98,jamestown,42.097,-79.2353,17.230000000000018,82,0,4.12,US,1717851052
99,lerwick,60.1545,-1.1494,8.0,78,76,10.25,GB,1717851053
100,udachny,66.4167,112.4,14.050000000000011,80,97,5.75,RU,1717851053
101,necochea,-38.5473,-58.7368,14.28000000000003,79,100,4.9,AR,1717851053
102,daru,-9.0763,143.2092,25.79000000000002,88,100,7.01,PG,1717851053
103,pandan,14.0453,124.1694,27.470000000000027,82,100,1.96,PH,1717851053
